Real value,Linear Regression,KNeighbors Regressor,DecisionTreeRegressor,Random Forest,XGBRegressor,Gradient Boosting Regressor,Ada Boost Regressor,Support Vector Regressor
0.0,0.2230476514488664,0.09,0.0,0.0,-0.0002954769879579544,0.02941110917941467,0.17774703557312244,0.09543141051884596
0.2,0.17586752260881477,0.252,0.29,0.2593999999999998,0.21603752672672272,0.15229957916903106,0.29861111111111116,0.17265013447188257
0.9,0.7443472498790167,0.922,0.88,0.8861999999999991,0.8944677710533142,0.8326640264915072,0.658368794326241,0.988942080868483
0.93,0.7337459539077208,0.8879999999999999,0.93,0.928999999999999,0.9361293911933899,0.8930186875208064,0.7159084604715684,0.8302764248431245
0.77,0.5640537055748746,0.438,0.68,0.7184999999999999,0.7517964243888855,0.8067881160234444,0.68547974413646,0.7491046638971774
0.13,0.22171427424903392,0.07,0.08,0.11170000000000005,0.10970078408718109,0.1590288707207823,0.3431661442006264,0.16279022803721324
0.25,0.2569346599218532,0.248,0.24,0.24129999999999988,0.25101950764656067,0.26980711493141285,0.3614999999999997,0.3029718720329516
0.01,0.3160281822980239,0.10200000000000001,0.06,0.04899999999999997,0.052989404648542404,0.14210263154484273,0.19202247191011232,0.06262211695425896
0.31,0.36101464328105276,0.398,0.39,0.3011000000000001,0.256839394569397,0.2690761567219059,0.42608695652173906,0.3604360316325075
0.86,0.8966066474498002,0.858,0.84,0.853299999999999,0.8491084575653076,0.8470543546094209,0.7300387596899226,0.8002879204428173
0.03,0.23542812896055168,0.07799999999999999,0.0,0.017900000000000006,0.04409455135464668,0.04903423652421969,0.19979166666666656,0.09069037343862552
0.56,0.7031336025997936,0.5740000000000001,0.39,0.6956000000000003,0.623299777507782,0.8075420282943794,0.68547974413646,0.8855131315888329
0.14,0.3825064318995893,0.174,0.17,0.18600000000000005,0.1529081165790558,0.29209996747177036,0.41891666666666694,0.31565619954407936
0.0,0.37757531537981637,0.084,0.0,0.0009,0.007939791306853294,0.042754162258633766,0.16,0.16511251808497387
0.47,0.3533425662929597,0.41600000000000004,0.36,0.40999999999999986,0.4867391884326935,0.3920079347933718,0.5500473933649288,0.46759891833763123
0.35,0.27074496631099054,0.20599999999999996,0.4,0.38599999999999995,0.3931022584438324,0.416181018157892,0.5743404255319152,0.32920299063820574
